size,100000
2,66359800
4,82165100
6,98683800
8,74483000
10,27517100
12,24272700
14,24763100
16,22447100
18,22389300
20,21305500
22,20235100
24,19832300
26,19291700
28,19216400
30,18586700
32,18698300
34,17881200
36,18058500
38,17972000
40,17239200
42,18202200
44,17486700
46,17643300
48,17738600
50,17733900
52,17204100
54,17199600
56,17227900
58,17500100
60,17216600
62,18066900
64,18030500
66,17753100
68,17527800
70,17588800
72,18130500
74,18424300
76,17951800
78,17982600
80,18003600
82,18154500
84,18221900
86,18218600
88,17667600
90,17770100
92,17802300
94,17873200
96,17970300
98,18326700
100,29044000
102,22570500
104,21703100
106,21783100
108,22155600
110,21196200
112,21434900
114,20600500
116,20781300
118,20987600
120,20911000
122,21025200
124,21009300
126,21282000
128,21224500
130,21083300
132,20732000
134,21011500
136,20912300
138,20798700
140,20861500
142,20274800
144,20296200
146,20432200
148,20598700
150,21305400
152,21447800
154,21729600
156,21686200
158,21065100
160,21191000
162,21182300
164,21290300
166,21346300
168,21461200
170,21571300
172,21923400
174,22243600
176,22574900
178,22882400
180,22752400
182,22465200
184,22282100
186,22393700
188,22583300
190,22659900
192,22885100
194,23107500
196,23044900
198,23135000
200,23177100
202,23422700
204,23418800
206,23567400
208,23627200
210,23835900
212,23890100
214,24141300
216,24038200
218,24177900
220,24429800
222,25542900
224,24404600
226,24530000
228,24754000
230,25055900
232,25827800
234,25277300
236,25219600
238,25059000
240,25235300
242,25232500
244,26569600
246,26250400
248,26490800
250,25716300
252,25528500
254,25705000
256,25766000
258,26153200
260,25943800
262,26422700
264,27012400
266,26367600
268,26504200
270,26508600
272,26793100
274,26712400
276,27004800
278,27140600
280,28557400
282,28284900
284,28548300
286,28486700
288,28528700
290,28743400
292,28608800
294,28168900
296,27969200
298,28044300
300,28219900
