size,4000
2,2015200
4,1271300
6,1152600
8,1125900
10,1606800
12,1212600
14,1203600
16,1147000
18,1154500
20,1167200
22,1183500
24,1181500
26,1909500
28,1238200
30,1183600
32,1219500
34,1822100
36,2230900
38,2329400
40,1948800
42,2009700
44,2198100
46,2935800
48,2092400
50,2120500
52,1709600
54,1708600
56,2547600
58,2766900
60,2048600
62,1656800
64,1662300
66,1594900
68,1561600
70,1766700
72,1762000
74,6249100
76,4463500
78,4489600
80,4544700
82,1562400
84,1512400
86,1871700
88,1750000
90,1626700
92,1523700
94,1535700
96,1944300
98,1684800
100,1930100
102,1546900
104,1482200
106,1611500
108,2074400
110,2723500
112,1609600
114,2478000
116,1623800
118,1593200
120,1566300
122,1687400
124,2366700
126,1569900
128,1590800
130,2947300
132,1743600
134,1903900
136,1597200
138,1599400
140,1527100
142,1600100
144,1574300
146,1517800
148,1570700
150,1869000
152,1442400
154,1502100
156,1513400
158,1438900
160,1489000
162,1515400
164,2262600
166,2007000
168,1923400
170,1734300
172,2725600
174,1980200
176,2089900
178,1418100
180,1584900
182,1571200
184,1960700
186,1999900
188,1804400
190,1781700
192,2951700
194,1596400
196,1539700
198,1902000
200,1696500
202,1622800
204,1571800
206,2408800
208,1613600
210,2802800
212,1782500
214,2834000
216,1755000
218,1807100
220,1809800
222,1804300
224,1863000
226,1696900
228,1775900
230,1697900
232,1735800
234,1678700
236,1728600
238,1577900
240,1670600
242,1829600
244,1819100
246,2064400
248,1853000
250,2136800
252,2639900
254,2599400
256,2331200
258,1588800
260,1957600
262,1589300
264,1610700
266,1614800
268,1576800
270,1606700
272,1599400
274,1604200
276,1592100
278,1544400
280,1538100
282,1328700
284,1444500
286,1514000
288,1410500
290,1377200
292,1382600
294,1476300
296,1442900
298,1425400
300,1480900
